WKT,POINT_ID
"POINT (2718000.217451 1912001.03398137)","27181912"
"POINT (2718000.83205956 1972001.09112168)","27181972"
"POINT (2718001.12986821 2007999.39924752)","27182008"
"POINT (2719999.24967458 1771999.00272073)","27201772"
"POINT (2720000.72160973 1962001.6963176)","27201962"
"POINT (2720001.60900743 1979999.07901314)","27201980"
"POINT (2720000.78701713 2006000.92521367)","27202006"
"POINT (2720000.3412059 2041999.82748436)","27202042"
"POINT (2721999.72096597 1750000.25335903)","27221750"
"POINT (2722000.4071051 1804000.22491563)","27221804"
"POINT (2721999.64127728 1822000.80729671)","27221822"
"POINT (2721999.03058843 1858001.67850914)","27221858"
"POINT (2723998.87026878 1758000.80587036)","27241758"
"POINT (2724000.28655676 1816001.12755803)","27241816"
"POINT (2724001.26341219 1888001.34786393)","27241888"
"POINT (2723999.44204637 1916000.75953072)","27241916"
"POINT (2724000.00717685 1923999.92779971)","27241924"
"POINT (2723999.52246155 1991997.77432063)","27241992"
"POINT (2723999.99932006 2049999.99694601)","27242050"
"POINT (2723999.99934308 2067999.99692887)","27242068"
"POINT (2723999.99937065 2085999.99702545)","27242086"
"POINT (2725999.98690823 1953998.56841532)","27261954"
"POINT (2725999.99937829 2025999.99691277)","27262026"
"POINT (2728002.11969299 1741999.07721311)","27281742"
"POINT (2727999.49431142 1760001.06079025)","27281760"
"POINT (2728001.07820039 1838001.40608278)","27281838"
"POINT (2727999.18925932 1850000.51972971)","27281850"
"POINT (2728001.04620076 1903999.75099945)","27281904"
"POINT (2728000.43478674 1940000.89644841)","27281940"
"POINT (2727999.41926149 2018000.93385538)","27282018"
"POINT (2727999.99932952 2071999.99698446)","27282072"
"POINT (2728001.46311327 2101999.45370573)","27282102"
"POINT (2730000.39950514 1935999.42591065)","27301936"
"POINT (2729999.92113281 1972000.40894067)","27301972"
"POINT (2730000.79456406 1980005.28184864)","27301980"
"POINT (2729999.21094951 2020000.95521883)","27302020"
"POINT (2729999.99932657 2043999.99796971)","27302044"
"POINT (2732002.45827634 1747998.61925036)","27321748"
"POINT (2731999.75951882 1784000.82976951)","27321784"
"POINT (2731999.99932788 2071999.99798159)","27322072"
"POINT (2734001.07869244 1879999.1504769)","27341880"
"POINT (2734001.13481294 1919999.40689926)","27341920"
"POINT (2734001.3608499 1952000.28347063)","27341952"
"POINT (2735998.19068136 1827999.12425221)","27361828"
"POINT (2736000.05202123 1846000.54738617)","27361846"
"POINT (2736001.31404157 1929999.48159938)","27361930"
"POINT (2735999.77365366 1954000.76157127)","27361954"
"POINT (2735999.99937007 2061999.99798664)","27362062"
"POINT (2738000.03026621 1883998.78766653)","27381884"
"POINT (2737999.80632536 1889999.91901502)","27381890"
"POINT (2738000.09360023 1901998.67630479)","27381902"
"POINT (2738000.77133819 1916001.32337665)","27381916"
"POINT (2737999.94648175 1926001.28442427)","27381926"
"POINT (2737997.03290097 1974002.87844828)","27381974"
"POINT (2737999.89991151 2027999.82787005)","27382028"
"POINT (2737999.99935654 2087999.99800993)","27382088"
"POINT (2739999.03387017 1803999.9216123)","27401804"
"POINT (2740000.07755318 1839997.70489607)","27401840"
"POINT (2740000.04822887 2037998.96386181)","27402038"
"POINT (2739999.0706268 2128000.61308174)","27402128"
"POINT (2742000.92813236 1739998.56071742)","27421740"
"POINT (2741998.77211021 1761999.8141886)","27421762"
"POINT (2742000.53897194 1780000.86952789)","27421780"
"POINT (2742000.2414478 1901999.47610944)","27421902"
"POINT (2741999.81328177 2005999.45866172)","27422006"
"POINT (2741999.23428357 2009999.67416163)","27422010"
"POINT (2746002.5101153 1841998.07732564)","27461842"
"POINT (2745998.03746195 1867997.67965322)","27461868"
"POINT (2746001.58269076 1878000.17897363)","27461878"
"POINT (2746000.79407068 1892000.77118812)","27461892"
"POINT (2746001.58001536 1999998.1217033)","27462000"
"POINT (2746001.32337545 2021996.59344628)","27462022"
"POINT (2745999.99938357 2071999.99795621)","27462072"
"POINT (2746000.75108024 2137999.93075803)","27462138"
