X,Y,Point_ID,Coarse,Clay,Sand,Silt,pH_CaCl2,pH_H20,EC,OC,CaCO3,P,N,K,LC,LU,NUTS_0,NUTS_1,NUTS_2,NUTS_3,LC0_Desc,LC1_Desc,LU1_Desc
-0.960686957,40.016163037,"33841948","23","41","16","42",7.70,8.04,19.29,23.90,"189",0.00,1.20,146.40,E30,U111,ES,ES2,ES24,ES242,Grassland,Spontaneously re-vegetated surfaces,Agriculture (excluding fallow land and kitchen gardens)
-0.988410357,40.177194869,"33841966","26","38","28","34",7.40,7.53,226.00,11.30,"96",0.00,1.00,84.20,C23,U120,ES,ES2,ES24,ES242,Woodland,Other coniferous woodland,Forestry
-1.053852129,40.552780658,"33842008","15","58","9","33",7.60,7.95,25.10,8.70,"191",9.90,1.00,914.40,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.060140335,40.588539474,"33842012","32","44","26","30",7.60,8.17,13.91,0.90,"627",0.00,0.50,215.10,B11,U111,ES,ES2,ES24,ES242,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-1.072746059,40.660051262,"33842020","20","21","54","25",7.70,8.17,15.95,5.70,"274",5.90,0.90,128.50,F40,U112,ES,ES2,ES24,ES242,Bareland,Other bare soil,Fallow land
-1.117176029,40.910281397,"33842048","14","49","10","40",7.50,7.90,15.99,9.30,"109",7.90,1.20,354.10,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.233680919,41.553298138,"33842120",,,,,7.80,8.39,23.00,10.10,"298",11.30,0.70,110.40,F40,U112,ES,ES2,ES24,ES243,Bareland,Other bare soil,Fallow land
-1.306519253,41.94595055,"33842164",,,,,7.60,8.05,56.20,26.40,"354",322.80,2.00,714.20,E20,U410,ES,ES2,ES24,ES243,Grassland,Grassland without tree/shrub cover,Abandoned areas
-1.316550319,41.999476494,"33842170",,,,,7.60,7.69,258.00,17.90,"287",9.80,1.60,322.50,B11,U111,ES,ES2,ES24,ES243,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-1.377241234,42.320544313,"33842206",,,,,7.60,8.09,32.80,13.60,"388",15.80,1.40,180.80,B13,U111,ES,ES2,ES22,ES220,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.384038504,42.356209257,"33842210",,,,,7.20,7.37,105.30,33.60,"415",127.00,4.20,312.70,B55,U111,ES,ES2,ES22,ES220,Cropland,Temporary grassland,Agriculture (excluding fallow land and kitchen gardens)
-1.397665625,42.427533616,"33842218",,,,,7.60,8.00,21.80,10.70,"411",14.20,1.50,143.00,B11,U111,ES,ES2,ES22,ES220,Cropland,Common wheat,Agriculture (excluding fallow land and kitchen gardens)
-2.638642494,48.075416841,"33842854",,,,,4.90,5.07,107.30,28.70,"1",121.90,3.50,513.50,B16,U111,FR,FRH,FRH0,FRH01,Cropland,Maize,Agriculture (excluding fallow land and kitchen gardens)
-2.665457383,48.181574472,"33842866",,,,,5.20,5.59,19.19,23.30,"1",102.30,2.60,277.80,F40,U111,FR,FRH,FRH0,FRH01,Bareland,Other bare soil,Agriculture (excluding fallow land and kitchen gardens)
-5.199049926,56.154798339,"33843772","5","14","31","54",3.50,3.74,61.10,70.80,"0",29.40,6.00,112.70,C10,U420,UK,UKM,UKM6,UKM63,Woodland,Broadleaved woodland,Semi-natural and natural areas not in use
-0.91616588,39.893485395,"33861934","35","24","33","43",7.40,7.82,16.93,29.10,"487",0.00,2.30,233.50,C22,U120,ES,ES5,ES52,ES523,Woodland,Pine dominated coniferous woodland,Forestry
-0.959054878,40.144022384,"33861962","33","31","14","55",7.10,7.30,52.90,68.20,"34",16.60,6.40,335.50,C23,U420,ES,ES2,ES24,ES242,Woodland,Other coniferous woodland,Semi-natural and natural areas not in use
-1.005523824,40.412347537,"33861992","12","23","47","30",7.70,8.20,12.45,8.10,"151",6.20,0.70,152.20,B13,U111,ES,ES2,ES24,ES242,Cropland,Barley,Agriculture (excluding fallow land and kitchen gardens)
-1.033665031,40.573289722,"33862010","10","52","13","35",7.60,8.02,20.80,9.40,"192",12.00,1.30,707.70,E30,U112,ES,ES2,ES24,ES242,Grassland,Spontaneously re-vegetated surfaces,Fallow land
